Title,Named-entity,Frequency
Angela Merkel,20170419104415,1
Angela Merkel,20180118183113,1
Angela Merkel,democratic republic,1
Angela Merkel,328,1
Angela Merkel,july 2017,2
Angela Merkel,20180112043002,1
Angela Merkel,new york times url https,1
Angela Merkel,eu germany,3
Angela Merkel,year 2017,1
Angela Merkel,reuters,11
Angela Merkel,article germany,2
Angela Merkel,20191111153300,1
Angela Merkel,russian,14
Angela Merkel,marx university leipzig,1
Angela Merkel,1973 1978,1
Angela Merkel,spiegel,8
Angela Merkel,27,12
Angela Merkel,949765,1
Angela Merkel,dauerbaustelle archive,1
Angela Merkel,20100113154152,1
Angela Merkel,baustelle html,1
Angela Merkel,stasi ministry state,1
Angela Merkel,ref crawford alan,1
Angela Merkel,german academy sciences berlin academy sciences,1
Angela Merkel,adlershof berlin,1
Angela Merkel,adlershof 1978 1990,1
Angela Merkel,squat,1
Angela Merkel,mitte ref,1
Angela Merkel,3156628,1
Angela Merkel,18 2021,6
Angela Merkel,20210308230856,1
Angela Merkel,propaganda,1
Angela Merkel,899768 html,1
Angela Merkel,spiegel archive,1
Angela Merkel,10 2021 archive,1
Angela Merkel,20210510231524,1
Angela Merkel,spiegel de international germany,2
Angela Merkel,soviet,2
Angela Merkel,year 2005,1
Angela Merkel,3 423,1
Angela Merkel,106 107 language,1
Angela Merkel,kein einfache,1
Angela Merkel,kann,1
Angela Merkel,109,1
Angela Merkel,30,1
Angela Merkel,uri s,1
Angela Merkel,29,5
Angela Merkel,december 2020 ref 1986,1
Angela Merkel,congress,2
Angela Merkel,week,4
Angela Merkel,ukrainian,1
Angela Merkel,ref cite news url https,2
Angela Merkel,wurde,3
Angela Merkel,july 2014,6
Angela Merkel,18 2021 archive,4
Angela Merkel,20210601194527,1
Angela Merkel,1989 1991,1
Angela Merkel,183,1
Angela Merkel,017,1
Angela Merkel,berlin,4
Angela Merkel,november 1989,1
Angela Merkel,10 moment,4
Angela Merkel,month later,1
Angela Merkel,february 1990,1
Angela Merkel,east german,5
Angela Merkel,da member party alliance germany,1
Angela Merkel,112,1
Angela Merkel,early year,2
Angela Merkel,bloomberg l,1
Angela Merkel,20170709045819,1
Angela Merkel,october 2015,2
Angela Merkel,20170522105808,1
Angela Merkel,april 1990,1
Angela Merkel,1991 1994,1
Angela Merkel,north mecklenburg,1
Angela Merkel,ruegen erwartet,2
Angela Merkel,6455183,2
Angela Merkel,kommunen,1
Angela Merkel,6 january 2010,1
Angela Merkel,20170109094717,1
Angela Merkel,state party,1
Angela Merkel,seven,6
Angela Merkel,year 2015,10
Angela Merkel,merkel vick,1
Angela Merkel,20190529051902,2
Angela Merkel,0,6
Angela Merkel,2014 12,4
Angela Merkel,20141209073023,2
Angela Merkel,november 1991,1
Angela Merkel,cdu mecklenburg,1
Angela Merkel,1994 1998,2
Angela Merkel,december 2020,1
Angela Merkel,1995 1994,1
Angela Merkel,kohl s,1
Angela Merkel,kohl mein,1
Angela Merkel,30 2005,2
Angela Merkel,kohl s underestimate,1
Angela Merkel,20090718100625,1
Angela Merkel,18 july 2009,1
Angela Merkel,1998 2000,2
Angela Merkel,kohl kohl,1
Angela Merkel,christian democratic union germany cdu,1
Angela Merkel,1999,2
Angela Merkel,kohl,7
Angela Merkel,2000 2018,1
Angela Merkel,northern germany,1
Angela Merkel,southern germany,1
Angela Merkel,vladimir putin,6
Angela Merkel,moscow,1
Angela Merkel,2002,7
Angela Merkel,early february 2001,1
Angela Merkel,ref barry,1
Angela Merkel,ed statesman,1
Angela Merkel,2015,9
Angela Merkel,516,1
Angela Merkel,iraq,4
Angela Merkel,0700,2
Angela Merkel,20180323164545,1
Angela Merkel,prior 2002,1
Angela Merkel,324300,2
Angela Merkel,20171010140141,1
Angela Merkel,hour week,1
Angela Merkel,20080613150234,1
Angela Merkel,schr der administration,1
Angela Merkel,1006081,2
Angela Merkel,world nuclear news,1
Angela Merkel,16,4
Angela Merkel,20110616040957,1
Angela Merkel,39171204,2
Angela Merkel,june 2017,2
Angela Merkel,staudenmai title germany s nuclear,1
Angela Merkel,july 2019,2
Angela Merkel,20200824011914,1
Angela Merkel,transatlantic,1
Angela Merkel,spring 2003,1
Angela Merkel,2003,1
Angela Merkel,turkish,3
Angela Merkel,10 4324 9780203847060,1
Angela Merkel,marlie editor,1
Angela Merkel,jongerden title nationalisms,1
Angela Merkel,2010,11
Angela Merkel,110,1
Angela Merkel,136,1
Angela Merkel,2005 german,1
Angela Merkel,21,2
Angela Merkel,article986606,2
Angela Merkel,20160306041049,1
Angela Merkel,368085,2
Angela Merkel,html title cdu panne brutto,1
Angela Merkel,carsten date 3,1
