Title,Named-entity,Frequency
Barack Obama,christmas 1971,1
Barack Obama,142,1
Barack Obama,161 177 227 230 maraniss,1
Barack Obama,190 194,1
Barack Obama,201,1
Barack Obama,230,2
Barack Obama,1982,1
Barack Obama,21 year old,1
Barack Obama,november 1 2004,1
Barack Obama,eastafrican,1
Barack Obama,11 html,1
Barack Obama,20070927223905,1
Barack Obama,11,5
Barack Obama,kevin,1
Barack Obama,washington post page a12,1
Barack Obama,13,7
Barack Obama,251 255 maraniss,1
Barack Obama,411,1
Barack Obama,417,1
Barack Obama,10,23
Barack Obama,obama s peer,1
Barack Obama,199085,2
Barack Obama,november 8 2008,1
Barack Obama,1963,1
Barack Obama,lolo soetoro university,1
Barack Obama,native indonesian,1
Barack Obama,indonesian,8
Barack Obama,east west center,1
Barack Obama,1965,1
Barack Obama,97 103 maraniss,1
Barack Obama,195,2
Barack Obama,230 ref year,1
Barack Obama,indonesia 1966,1
Barack Obama,sixteen month later,1
Barack Obama,1967,3
Barack Obama,tebet,1
Barack Obama,jakarta,6
Barack Obama,1970,1
Barack Obama,244,2
Barack Obama,st francis assisi catholic elementary school obama enrol,1
Barack Obama,obama berstatus,2
Barack Obama,agama islam,1
Barack Obama,islam,1
Barack Obama,21 2021,1
Barack Obama,indonesia,5
Barack Obama,st francis assisi catholic elementary school,1
Barack Obama,01,5
Barack Obama,negeri menteng,1
Barack Obama,01 half year,1
Barack Obama,216,2
Barack Obama,obama calvert homeschooler,2
Barack Obama,november 25 2015 date january,1
Barack Obama,25 2014,1
Barack Obama,2 date march 2010,1
Barack Obama,https languagelog ldc,1
Barack Obama,1052,1
Barack Obama,january 23 2009,1
Barack Obama,october 7 2012,1
Barack Obama,pennsylvania,1
Barack Obama,88011,2
Barack Obama,obama learn,5
Barack Obama,august 22,1
Barack Obama,newsweek archive url https,1
Barack Obama,20170107100237,1
Barack Obama,january 9 2017,2
Barack Obama,1971,1
Barack Obama,madelyn stanley,1
Barack Obama,dunham stanley dunham,1
Barack Obama,punahou school private university preparatory school college,1
Barack Obama,fifth,2
Barack Obama,1979,2
Barack Obama,punahou grad stir illinois,1
Barack Obama,2004 03 21,1
Barack Obama,obama s path,1
Barack Obama,a1,11
Barack Obama,20080314042735,1
Barack Obama,november 18 2011,1
Barack Obama,131 134 maraniss,1
Barack Obama,269,1
Barack Obama,nickname barry ref cite news url,1
Barack Obama,84255,1
Barack Obama,newsweek ref,1
Barack Obama,maya,1
Barack Obama,soetoro ng maya,1
Barack Obama,hawaii year 1972 1975,1
Barack Obama,279,2
Barack Obama,281,1
Barack Obama,1975,1
Barack Obama,157 194 maraniss,1
Barack Obama,324,1
Barack Obama,326,1
Barack Obama,1980,1
Barack Obama,1992,8
Barack Obama,214,1
Barack Obama,346 ref year,1
Barack Obama,obama write,3
Barack Obama,obama newspaper,1
Barack Obama,story02,1
Barack Obama,elliott philip,1
Barack Obama,boston,18
Barack Obama,8a,1
Barack Obama,18 2012,9
Barack Obama,20120407214401,1
Barack Obama,article boston,1
Barack Obama,marijuana ref cite,1
Barack Obama,karl jonathan,1
Barack Obama,abc news,6
Barack Obama,25 2012,4
Barack Obama,05,15
Barack Obama,year 2004,2
Barack Obama,date 1995,1
Barack Obama,93 94 access,1
Barack Obama,year 2012,3
Barack Obama,obama s recent,1
Barack Obama,marijuana teenager,1
Barack Obama,seelye katharine,1
Barack Obama,new york times,29
Barack Obama,9d07e2db173ff937a15753c1a9609c8b63,1
Barack Obama,october 29 2006,1
Barack Obama,washington post page,5
Barack Obama,14 2007,1
Barack Obama,pbs date october 9 2012,1
Barack Obama,october 29 2012,1
Barack Obama,february 1981,1
Barack Obama,south africa,1
Barack Obama,mid 1981,1
Barack Obama,pakistan,4
Barack Obama,india,1
Barack Obama,week,2
Barack Obama,later 1981,1
Barack Obama,columbia university,1
Barack Obama,new york city junior,1
Barack Obama,january 2005,1
Barack Obama,83,2
Barack Obama,columbia,1
Barack Obama,today,6
Barack Obama,october 1 2006,2
Barack Obama,20080905121815,1
Barack Obama,26,12
Barack Obama,town hall title remark,1
Barack Obama,town hall,1
Barack Obama,26 2014,1
Barack Obama,nara,7
Barack Obama,2012 8,1
Barack Obama,august 27 2012,1
Barack Obama,7,12
Barack Obama,gpa graduate obama,1
Barack Obama,ref cite news url,2
Barack Obama,npr access,2
Barack Obama,17 2017,2
Barack Obama,obama barack,21
Barack Obama,year 1998,1
Barack Obama,obama cv html,2
Barack Obama,20010509024017,1
Barack Obama,1a,4
Barack Obama,https www boston,4
Barack Obama,november 7 2009,3
Barack Obama,1985,5
Barack Obama,scott janny,1
Barack Obama,july 30,2
Barack Obama,30obama html,3
Barack Obama,20071030232446,1
Barack Obama,10 30,3
Barack Obama,133 140,1
Barack Obama,62,2
Barack Obama,63,4
Barack Obama,ref ref s 2008,1
Barack Obama,title s america 2008,1
Barack Obama,3468,1
Barack Obama,7011 0,1
Barack Obama,ref ref cite news,16
Barack Obama,newsday,5
Barack Obama,jason fink ref,1
Barack Obama,united nations,1
Barack Obama,margaret thatcher,1
Barack Obama,october 18 2006,1
Barack Obama,half,2
Barack Obama,september 9 2007,2
Barack Obama,545462,2
Barack Obama,stng archive url https,1
Barack Obama,5msgz6skn,1
Barack Obama,18 2010,1
Barack Obama,chicago sun times,10
Barack Obama,20080703042659,1
Barack Obama,madelyn dunham,1
Barack Obama,date september 9,1
Barack Obama,545449,2
Barack Obama,wotreeee09,2
Barack Obama,20090304232433,1
Barack Obama,november 2 2008,1
Barack Obama,03,7
Barack Obama,obama s grandmother,1
Barack Obama,cnn,35
Barack Obama,november 4 2008 date november 3 2008,1
Barack Obama,20081103235343,1
Barack Obama,november 3 2008,1
Barack Obama,root ireland,1
Barack Obama,irish,4
Barack Obama,859151,1
Barack Obama,obama s root,1
Barack Obama,9 2011,1
Barack Obama,native american,1
Barack Obama,jefferson davis,1
Barack Obama,america american civil war,1
Barack Obama,dick cheney,2
Barack Obama,harry s truman,1
Barack Obama,merritt,1
Barack Obama,0 3453027,1
Barack Obama,20070930033339,1
Barack Obama,2c0,3
Barack Obama,september 30 2007,1
Barack Obama,washington post access,7
Barack Obama,cbs,1
Barack Obama,20080602215833,1
Barack Obama,miyoshi jager,3
Barack Obama,chicago 1980,1
Barack Obama,ref theindependentbeforemichelle cite news last1,1
Barack Obama,obama s proposal,1
Barack Obama,chicago,63
Barack Obama,ref theindependentbeforemichelle ref tobiasoberlincollegeprofessor cite news last1,1
Barack Obama,1980s,1
Barack Obama,rece html,1
Barack Obama,3,9
Barack Obama,2017 month,1
Barack Obama,sasha malia,1
Barack Obama,june 1989,1
Barack Obama,summer,3
Barack Obama,austin ref obama,1
Barack Obama,327 332,1
Barack Obama,sarah brown,1
Barack Obama,85,1
Barack Obama,daily,9
Barack Obama,2005,6
Barack Obama,20090220165725,1
Barack Obama,obama s adviser,1
Barack Obama,329,1
Barack Obama,later summer engage 1991,1
Barack Obama,october 3 1992,1
Barack Obama,michelle obama,4
Barack Obama,date october 3 2007,1
Barack Obama,585261,2
Barack Obama,20091208051056,1
Barack Obama,chicago sun times access,1
Barack Obama,april 28 2008,2
Barack Obama,https www telegraph,1
Barack Obama,09,13
Barack Obama,ben riley,1
Barack Obama,smith,2
Barack Obama,november 9 2018,1
Barack Obama,malia ann,1
Barack Obama,1998,5
Barack Obama,0708,2
Barack Obama,4th,3
Barack Obama,july,4
Barack Obama,july date july 4,1
Barack Obama,martin jonathan archive url https,1
Barack Obama,20080710073536,1
Barack Obama,440,1
Barack Obama,339 340,1
Barack Obama,153,1
Barack Obama,gannett news service,1
Barack Obama,chicago laboratory school,1
Barack Obama,january 2009,1
Barack Obama,sidwell friend school ref,1
Barack Obama,22,15
Barack Obama,obama school php archive url https,1
Barack Obama,20090129194323,1
Barack Obama,ted kennedy,1
Barack Obama,20090414224523,1
Barack Obama,14,7
Barack Obama,april 13 2009,1
Barack Obama,2013,16
Barack Obama,ref feldmann cite,1
Barack Obama,journal,1
Barack Obama,linda,2
Barack Obama,obama video,2
Barack Obama,0820,1
Barack Obama,christian,16
Barack Obama,8 2021,3
Barack Obama,2021,22
Barack Obama,washington post ref file,1
Barack Obama,congress,25
Barack Obama,2,10
Barack Obama,obama obama,2
Barack Obama,20080829134235,1
Barack Obama,major league baseball star game star game wear,1
Barack Obama,nat,3
Barack Obama,14 2009,4
Barack Obama,mlb,1
Barack Obama,803700,2
Barack Obama,20120704194211,1
Barack Obama,pittsburgh,1
Barack Obama,12 day,1
Barack Obama,ref steeler,1
Barack Obama,william title steeler,1
Barack Obama,obama s approval,1
Barack Obama,washington post date january 30 2009,1
Barack Obama,29,10
Barack Obama,season 1985,1
Barack Obama,bear white house,1
Barack Obama,1986,2
Barack Obama,1 85,2
Barack Obama,obama white house,3
Barack Obama,61eee18315e4,2
Barack Obama,october 7 2011,1
Barack Obama,november 4 2012,1
Barack Obama,20130507094538,1
Barack Obama,7 2013,1
Barack Obama,20090401222632,1
Barack Obama,april 1 2009,2
Barack Obama,april 15 2008,1
Barack Obama,hbo,2
Barack Obama,0 133 april 15 2008,1
Barack Obama,october 12 2011,1
Barack Obama,20090123145020,1
Barack Obama,23,12
Barack Obama,david d,1
Barack Obama,1 6 nbs million,1
Barack Obama,sen obama s freshman,1
Barack Obama,0 1779783,1
Barack Obama,chicago tribune access,2
Barack Obama,20110513214525,1
Barack Obama,13 2011,3
Barack Obama,december 2007,1
Barack Obama,obama s net,1
Barack Obama,1 3 nbs million,1
Barack Obama,obama s money,1
Barack Obama,moneymag 5,2
Barack Obama,20080424113420,1
Barack Obama,april 24 2008,1
Barack Obama,08,5
Barack Obama,html,4
Barack Obama,5 5 nbs million 4 2 nbs million,1
Barack Obama,4 2 million,1
Barack Obama,2008 04 17,2
Barack Obama,april 17 2008,1
Barack Obama,20090416015848,1
Barack Obama,april 16 2009,2
Barack Obama,5 5 million,1
Barack Obama,post date april 16 2010,1
Barack Obama,michael d last1,2
Barack Obama,david s last2 hilzenrath,1
Barack Obama,1 7 nbs million,1
Barack Obama,14 percent,1
Barack Obama,131 000,2
Barack Obama,2011 04,9
Barack Obama,obama m,3
Barack Obama,april 18 2011,1
Barack Obama,obama 2010,1
Barack Obama,20110502113725,1
Barack Obama,html archive,2
Barack Obama,27 2012,2
Barack Obama,131000,2
Barack Obama,april 27 2011,1
Barack Obama,20140129072652,1
Barack Obama,2012 05,2
Barack Obama,10 million,2
Barack Obama,16 2012,4
Barack Obama,twenty,1
Barack Obama,january 2013,1
Barack Obama,january 2008,1
Barack Obama,today date january 23,1
Barack Obama,27 2010,2
Barack Obama,28,10
Barack Obama,obama christian,6
Barack Obama,742124,2
Barack Obama,babington,1
Barack Obama,charles last2 superville,1
Barack Obama,20110511232554,1
Barack Obama,11 2011,4
Barack Obama,september 29 2010,1
Barack Obama,20120713041729,1
Barack Obama,wright,3
Barack Obama,october 1987,2
Barack Obama,ref cite news agency,2
Barack Obama,obama s church,2
Barack Obama,nbc news url https,1
Barack Obama,washington d c,1
Barack Obama,shiloh baptist church,1
Barack Obama,st john s episcopal,1
Barack Obama,christmas,3
Barack Obama,20131230064130,1
Barack Obama,dan url https,1
Barack Obama,hunt,1
Barack Obama,obama s church hunt,1
Barack Obama,u s news world report,3
Barack Obama,ref ref cite news url https washington cbslocal,1
Barack Obama,2014 04,1
Barack Obama,sunday,8
Barack Obama,cbs dc agency,1
Barack Obama,article14001552,1
Barack Obama,obama reveal,1
Barack Obama,chicago roseland west pullman,1
Barack Obama,chicago west,1
Barack Obama,chicago s south chicago,1
Barack Obama,june 1985 1988,1
Barack Obama,ref s 2008 ref,1
Barack Obama,new republic,5
Barack Obama,236,1
Barack Obama,12,20
Barack Obama,august 21,1
Barack Obama,20091214172131,1
Barack Obama,0703300121mar30 archive,1
Barack Obama,2c2491692,1
Barack Obama,140 295 mendell,1
Barack Obama,chicago illinois altgeld gardens ref harvard,1
Barack Obama,1990a,3
Barack Obama,february 15 1990,1
