Title,Named-entity,Frequency
Cristiano Ronaldo,1997,1
Cristiano Ronaldo,12 go day,1
Cristiano Ronaldo,age 14,1
Cristiano Ronaldo,529372,2
Cristiano Ronaldo,6 july 2011,1
Cristiano Ronaldo,20150429171348,1
Cristiano Ronaldo,29 april 2015,1
Cristiano Ronaldo,year later,2
Cristiano Ronaldo,20180812184905,1
Cristiano Ronaldo,41e4d9d91b8f3a1d65c3826f00d63d15,2
Cristiano Ronaldo,20180812184547,1
Cristiano Ronaldo,date 12 august 2018,1
Cristiano Ronaldo,united winger cristiano,1
Cristiano Ronaldo,https www telegraph,5
Cristiano Ronaldo,20170823141642,1
Cristiano Ronaldo,ronaldo museum mundo sporting,1
Cristiano Ronaldo,jpg thumb,22
Cristiano Ronaldo,age 16,1
Cristiano Ronaldo,driblinguri,1
Cristiano Ronaldo,february 2016 date,1
Cristiano Ronaldo,20160303123806,1
Cristiano Ronaldo,ronaldo la sporting archive,1
Cristiano Ronaldo,march 2016,6
Cristiano Ronaldo,989542,2
Cristiano Ronaldo,august 2014,77
Cristiano Ronaldo,manchester evening,3
Cristiano Ronaldo,news archive url https,2
Cristiano Ronaldo,20140903060451,1
Cristiano Ronaldo,later 29 september 2002,1
Cristiano Ronaldo,7 october,1
Cristiano Ronaldo,20090602071706,1
Cristiano Ronaldo,htm archive,1
Cristiano Ronaldo,june 2009,2
Cristiano Ronaldo,2002,8
Cristiano Ronaldo,03 season,1
Cristiano Ronaldo,laporta ref invoke,1
Cristiano Ronaldo,https uk eurosport,2
Cristiano Ronaldo,06122010 58,2
Cristiano Ronaldo,ronaldo html archive url https,1
Cristiano Ronaldo,20101208061005,1
Cristiano Ronaldo,ronaldo html,2
Cristiano Ronaldo,6,23
Cristiano Ronaldo,november,5
Cristiano Ronaldo,2011 jan 19,2
Cristiano Ronaldo,europe 1,1
Cristiano Ronaldo,november 2011,1
Cristiano Ronaldo,20131005154731,1
Cristiano Ronaldo,october 2013,2
Cristiano Ronaldo,alex ferguson,9
Cristiano Ronaldo,3 1,7
Cristiano Ronaldo,august 2003,2
Cristiano Ronaldo,year ref,2
Cristiano Ronaldo,ronaldo s legendary,1
Cristiano Ronaldo,article 2735948,2
Cristiano Ronaldo,27 2018,2
Cristiano Ronaldo,20180528133259,1
Cristiano Ronaldo,12,26
Cristiano Ronaldo,24 nbsp million,1
Cristiano Ronaldo,11667 2273339,2
Cristiano Ronaldo,20140903043416,1
Cristiano Ronaldo,april 2013,1
Cristiano Ronaldo,000th,1
Cristiano Ronaldo,20140517151357,1
Cristiano Ronaldo,17 2014,4
Cristiano Ronaldo,15 2014,2
Cristiano Ronaldo,2007,30
Cristiano Ronaldo,30,13
Cristiano Ronaldo,well year,1
Cristiano Ronaldo,18 year old,1
Cristiano Ronaldo,12 august 2003 late 2003,1
Cristiano Ronaldo,bolton,4
Cristiano Ronaldo,2003 04 season,1
Cristiano Ronaldo,bbc,66
Cristiano Ronaldo,3142959,1
Cristiano Ronaldo,bbc sport archive url,6
Cristiano Ronaldo,united fork,3
Cristiano Ronaldo,20220110,2
Cristiano Ronaldo,1235,1
Cristiano Ronaldo,ref,22
Cristiano Ronaldo,28,21
Cristiano Ronaldo,squad number association football squad number,1
Cristiano Ronaldo,7,18
Cristiano Ronaldo,eric cantona david beckham ref,1
Cristiano Ronaldo,13,17
Cristiano Ronaldo,20140903152721,1
Cristiano Ronaldo,716711,1
Cristiano Ronaldo,20140903115441,1
Cristiano Ronaldo,716711 archive,1
Cristiano Ronaldo,8134301,1
Cristiano Ronaldo,bbc sport,47
Cristiano Ronaldo,july 2009,2
Cristiano Ronaldo,chelsea jpg thumb,1
Cristiano Ronaldo,06,9
Cristiano Ronaldo,0,16
Cristiano Ronaldo,16 august 2003,1
Cristiano Ronaldo,web wilson paul url https,2
Cristiano Ronaldo,20140903152616,1
Cristiano Ronaldo,september 2014,36
Cristiano Ronaldo,united debut title george,1
Cristiano Ronaldo,ronaldo s debut,1
Cristiano Ronaldo,20140903085222,1
Cristiano Ronaldo,united debut,1
Cristiano Ronaldo,20170809002543,1
Cristiano Ronaldo,half,4
Cristiano Ronaldo,20140903152611,1
Cristiano Ronaldo,ronaldo s,10
Cristiano Ronaldo,20140903152542,1
Cristiano Ronaldo,3725063,1
Cristiano Ronaldo,22 2004,1
Cristiano Ronaldo,20090225084836,1
Cristiano Ronaldo,february 2009,1
Cristiano Ronaldo,alan hansen,1
Cristiano Ronaldo,bbc sport ref british,1
Cristiano Ronaldo,3708551,1
Cristiano Ronaldo,one,2
Cristiano Ronaldo,25 2004,1
Cristiano Ronaldo,bbc sport ref,5
Cristiano Ronaldo,gary neville,3
Cristiano Ronaldo,2004 england,1
Cristiano Ronaldo,bbc sport ref quote box,1
Cristiano Ronaldo,19 year,1
Cristiano Ronaldo,season ref,1
Cristiano Ronaldo,united s,3
Cristiano Ronaldo,29 october 2004,1
Cristiano Ronaldo,4 1,10
Cristiano Ronaldo,20111206054312,1
Cristiano Ronaldo,previous deal year,1
Cristiano Ronaldo,2010,39
Cristiano Ronaldo,20170814024548,1
Cristiano Ronaldo,2005,3
Cristiano Ronaldo,2004 05,1
Cristiano Ronaldo,2004 05 season,1
Cristiano Ronaldo,bbc sport ref ref,2
Cristiano Ronaldo,2 4,1
Cristiano Ronaldo,20170814024707,1
Cristiano Ronaldo,120 minute 2005,1
Cristiano Ronaldo,21 2005,1
Cristiano Ronaldo,20170814023916,1
Cristiano Ronaldo,february 2006,3
Cristiano Ronaldo,26,29
Cristiano Ronaldo,20070828124554,1
Cristiano Ronaldo,august,6
Cristiano Ronaldo,england,1
Cristiano Ronaldo,4512908,2
Cristiano Ronaldo,20060205020933,1
Cristiano Ronaldo,3 1 defeat kick manchester,1
Cristiano Ronaldo,manchester city s united,1
Cristiano Ronaldo,andy cole,1
Cristiano Ronaldo,2363590,1
Cristiano Ronaldo,january 2006,1
Cristiano Ronaldo,20140903043420,1
Cristiano Ronaldo,11667 2363590,1
Cristiano Ronaldo,ron training,3
Cristiano Ronaldo,1016868,2
Cristiano Ronaldo,17 january 2006,1
Cristiano Ronaldo,20140903055643,1
Cristiano Ronaldo,2006,25
Cristiano Ronaldo,03,7
Cristiano Ronaldo,3 july 2006,1
Cristiano Ronaldo,20140903152921,1
Cristiano Ronaldo,july 2006,4
Cristiano Ronaldo,20140903152928,1
