Title,Named-entity,Frequency
Sundar Pichai,august 8,1
Sundar Pichai,20170808113419,1
Sundar Pichai,china,9
Sundar Pichai,chinese,1
Sundar Pichai,16733202,2
Sundar Pichai,tim cook,6
Sundar Pichai,december 4,1
Sundar Pichai,20171204172723,1
Sundar Pichai,1145637 2017,2
Sundar Pichai,december 4 2017,1
Sundar Pichai,20171206074449,1
Sundar Pichai,december 2019,1
Sundar Pichai,alphabet inc alphabet inc ref,1
Sundar Pichai,larry sergey,2
Sundar Pichai,2019 12,1
Sundar Pichai,cnbc,2
Sundar Pichai,alphabet singapore,1
Sundar Pichai,260px,1
Sundar Pichai,08,1
Sundar Pichai,30096,1
Sundar Pichai,indian express,1
Sundar Pichai,40 million,1
Sundar Pichai,african,1
Sundar Pichai,7 2020,2
Sundar Pichai,asia,2
Sundar Pichai,mkbhd u s congressional,1
Sundar Pichai,december 11 2018,1
Sundar Pichai,u s house judiciary committee,1
Sundar Pichai,app china,1
Sundar Pichai,jillian,1
Sundar Pichai,2018,4
Sundar Pichai,danielle,1
Sundar Pichai,fortune magazine fortune access date,1
Sundar Pichai,3 2019,1
Sundar Pichai,date june 2021 october,1
Sundar Pichai,united states senate committee commerce science transportation,1
Sundar Pichai,230,1
Sundar Pichai,1934,1
Sundar Pichai,senate,1
Sundar Pichai,october 1 2020,1
Sundar Pichai,cnn,1
Sundar Pichai,ref award,1
Sundar Pichai,2022,3
Sundar Pichai,11643162439142,1
Sundar Pichai,26 2022,1
Sundar Pichai,bhushan microsoft,1
Sundar Pichai,satya nadella google,1
Sundar Pichai,89122582,1
Sundar Pichai,thomas title,1
Sundar Pichai,02,1
Sundar Pichai,barcelona,1
Sundar Pichai,december 4 2019 date march,1
Sundar Pichai,web sharma punitj itika,1
Sundar Pichai,1643816,1
Sundar Pichai,quartz,1
Sundar Pichai,https www youtube,1
Sundar Pichai,90,1
Sundar Pichai,second,1
Sundar Pichai,daily,1
Sundar Pichai,s inc s,1
Sundar Pichai,2020 2029,1
Sundar Pichai,alphabet inc state,1
Sundar Pichai,collapse google inc authority,1
Sundar Pichai,1972,1
Sundar Pichai,american businesspeople indian,1
Sundar Pichai,los altos,1
Sundar Pichai,school university pennsylvania,1
