Title,Named-entity,Frequency
Lionel Messi,barcelona s youth academy la masia,1
Lionel Messi,age 13 messi,3
Lionel Messi,september 2000,1
Lionel Messi,age 14 december,1
Lionel Messi,napkin ref mission ref,1
Lionel Messi,lowe title,12
Lionel Messi,messi argentinian,1
Lionel Messi,october 2014,1
Lionel Messi,15,21
Lionel Messi,messi barcelona,28
Lionel Messi,february 2001,1
Lionel Messi,club s stadium,1
Lionel Messi,spain messi,2
Lionel Messi,ref ref serviette ref,1
Lionel Messi,new york,10
Lionel Messi,21 2011,1
Lionel Messi,2011,18
Lionel Messi,18 july 2015 ref year,1
Lionel Messi,barcelona s youth academy,1
Lionel Messi,masia messi,1
Lionel Messi,spanish football federation,3
Lionel Messi,february 2002,1
Lionel Messi,61,3
Lionel Messi,62,2
Lionel Messi,149,1
Lionel Messi,season 2002,1
Lionel Messi,30,13
Lionel Messi,pete jenson,1
Lionel Messi,messi piqu,1
Lionel Messi,2002,3
Lionel Messi,2002 1928682,1
Lionel Messi,ref copa catalunya,1
Lionel Messi,4 1,7
Lionel Messi,partido de la,1
Lionel Messi,scara,1
Lionel Messi,week,3
Lionel Messi,10 minute,1
Lionel Messi,2012,26
Lionel Messi,barcelona ref serviette ref cite news,1
Lionel Messi,november 2014,1
Lionel Messi,21,18
Lionel Messi,march 2006,1
Lionel Messi,japan2006,2
Lionel Messi,103182,2
Lionel Messi,20141021172445,1
Lionel Messi,2003 2005,1
Lionel Messi,messi s,52
Lionel Messi,10 year,3
Lionel Messi,fc date,11
Lionel Messi,2089807,1
Lionel Messi,1692969,1
Lionel Messi,barcelona ref,4
Lionel Messi,juvenil juvenile,1
Lionel Messi,11,10
Lionel Messi,68,1
Lionel Messi,la masia,1
Lionel Messi,early day,1
Lionel Messi,persona,1
Lionel Messi,june 2015,4
Lionel Messi,2015 06 04,1
Lionel Messi,19 july 2015,7
Lionel Messi,ref messi,25
Lionel Messi,5378823,1
Lionel Messi,16 year month,1
Lionel Messi,23 day old,1
Lionel Messi,come 75th minute,1
Lionel Messi,2003,2
Lionel Messi,corrigan title messi,2
Lionel Messi,fc date 15,1
Lionel Messi,1616845,1
Lionel Messi,daily club s reserve barcelona,1
Lionel Messi,weekly,1
Lionel Messi,191 193,1
Lionel Messi,16 year old,1
Lionel Messi,246 249,2
Lionel Messi,53,3
Lionel Messi,ref,17
Lionel Messi,el ltimo salto de la,1
Lionel Messi,el pa s date,1
Lionel Messi,leo messi barce 2005,1
Lionel Messi,jpg thumb,20
Lionel Messi,laga cf m laga 2005,1
Lionel Messi,29,16
Lionel Messi,november,6
Lionel Messi,68 71,3
Lionel Messi,183 185,1
Lionel Messi,february 2004 last 2012,1
Lionel Messi,30 nbsp million,1
Lionel Messi,80 nbsp million,1
Lionel Messi,262,3
Lionel Messi,season,7
Lionel Messi,2003 04,6
Lionel Messi,andr s messi cuccittini,19
Lionel Messi,183,1
Lionel Messi,season 2004,1
Lionel Messi,246,1
Lionel Messi,249,1
Lionel Messi,2004 05,7
Lionel Messi,previous november,1
Lionel Messi,october 2004,1
Lionel Messi,frank rijkaard,2
Lionel Messi,ronald reng,1
Lionel Messi,messi magazine,1
Lionel Messi,27 2011,3
Lionel Messi,8672,1
Lionel Messi,ref messi league debut,1
Lionel Messi,16 october,2
Lionel Messi,minute,1
Lionel Messi,17 year month,1
Lionel Messi,22 day old,1
Lionel Messi,244 minute,1
Lionel Messi,1 2005,1
Lionel Messi,richard williams,1
Lionel Messi,24 february 2006,1
Lionel Messi,second season rijkaard 2004,1
Lionel Messi,05,9
Lionel Messi,fc date 4 june 2015,1
Lionel Messi,19 july 2015 ref 2005,1
Lionel Messi,33,8
Lionel Messi,18 year old,3
Lionel Messi,264,2
Lionel Messi,2010,31
Lionel Messi,150 nbsp million,2
Lionel Messi,august,9
Lionel Messi,barcelona s pre season,1
Lionel Messi,laporta barcelona kidnap s hostage,1
Lionel Messi,16 june 2017,1
Lionel Messi,laporta barcelona board,1
Lionel Messi,july 2017,3
Lionel Messi,joan laporta,2
Lionel Messi,16 september,2
Lionel Messi,263,1
Lionel Messi,fc date 17 september 2005,1
Lionel Messi,342857,1
Lionel Messi,20 july 2015,3
Lionel Messi,messi barca,1
Lionel Messi,messi miss,5
Lionel Messi,06,16
Lionel Messi,la liga la liga,1
Lionel Messi,caioli 2012 p,1
Lionel Messi,19,11
Lionel Messi,266,3
Lionel Messi,269,3
Lionel Messi,20150328054707,1
Lionel Messi,28,7
Lionel Messi,el cl sico cl sico,2
Lionel Messi,19 november,1
Lionel Messi,279,1
Lionel Messi,284,1
Lionel Messi,chelsea ref,1
Lionel Messi,angry messi,1
Lionel Messi,2368373,2
Lionel Messi,sport stanton chris,1
Lionel Messi,champion league ref,2
Lionel Messi,0250,1
Lionel Messi,3d48707e49f6 1000 messi,1
Lionel Messi,messi s uefa,1
Lionel Messi,november 2015 ref season,1
Lionel Messi,7 march 2006,1
Lionel Messi,hamstring messi,1
Lionel Messi,17 day,1
Lionel Messi,19 year old,1
Lionel Messi,2006 07,9
Lionel Messi,536834,1
Lionel Messi,21 july 2015,16
Lionel Messi,529,2
Lionel Messi,475,2
Lionel Messi,20150924214113,1
Lionel Messi,barcelona cul s club s,1
Lionel Messi,november 2006,1
Lionel Messi,month,2
Lionel Messi,11 13 spain,1
Lionel Messi,7117763,1
Lionel Messi,messi close,1
Lionel Messi,130 132,1
Lionel Messi,season 11,1
Lionel Messi,13,9
Lionel Messi,12 year,1
Lionel Messi,3 3,1
Lionel Messi,lowe title s messi newspaper guardian,1
Lionel Messi,12,16
Lionel Messi,sign month,1
Lionel Messi,302,1
Lionel Messi,1986,8
Lionel Messi,world cup goal century,2
Lionel Messi,seven week,1
Lionel Messi,daily,18
Lionel Messi,february 2006,3
Lionel Messi,2332685,2
Lionel Messi,20220110,22
Lionel Messi,november 2021 ref,1
Lionel Messi,18 april,1
Lionel Messi,maradona s,1
Lionel Messi,quarter,16
Lionel Messi,60,4
Lionel Messi,yard beat,1
Lionel Messi,maradona ref mission ref,1
Lionel Messi,uk sport football european 2311407,2
Lionel Messi,ref league,2
Lionel Messi,barcelona newspaper times subscription require,1
Lionel Messi,10 june 2007,1
Lionel Messi,20081013021540,1
Lionel Messi,del rey,4
Lionel Messi,messi ahora d,1
Lionel Messi,title messi messi,1
Lionel Messi,el mundo,1
Lionel Messi,bbc sport,45
Lionel Messi,17 june 2007,1
Lionel Messi,bbc,15
Lionel Messi,europe,20
Lionel Messi,20 year old,1
Lionel Messi,ref mission ref cite news,1
Lionel Messi,barcelona s big,1
Lionel Messi,24 september,1
Lionel Messi,john carlin,1
Lionel Messi,ballon,6
Lionel Messi,kak,1
Lionel Messi,524,3
Lionel Messi,year,12
Lionel Messi,491815,1
Lionel Messi,08,8
Lionel Messi,21 july 2015 ref second half season mar,1
Lionel Messi,december,1
Lionel Messi,sideline week,3
Lionel Messi,uk sport football,6
Lionel Messi,henley title messi bar,1
Lionel Messi,season 2008,1
Lionel Messi,15106,1
Lionel Messi,301887,1
Lionel Messi,la liga place league ref cite news title,1
Lionel Messi,21 july 2015 ref,1
Lionel Messi,squad number association,1
Lionel Messi,july annual,1
Lionel Messi,7 8 nbsp million,2
Lionel Messi,472,3
Lionel Messi,heydari title messi,1
Lionel Messi,26 2009,1
Lionel Messi,26,15
Lionel Messi,0,31
Lionel Messi,24 july 2015,7
Lionel Messi,2006 2008,1
Lionel Messi,phil barnett,1
Lionel Messi,messi rare,3
Lionel Messi,date 1 december 2009,1
Lionel Messi,1831871,2
Lionel Messi,20190329161932,1
Lionel Messi,early year,1
Lionel Messi,jamie jackson,1
Lionel Messi,accolade,1
Lionel Messi,12 january 2009,1
Lionel Messi,039,1
Lionel Messi,51,1
Lionel Messi,thierry henry,3
Lionel Messi,2008 09,2
Lionel Messi,messi suarez neymar,1
Lionel Messi,barcelona s,10
Lionel Messi,20 april 2015,1
Lionel Messi,2408047,1
Lionel Messi,messi neymar,1
Lionel Messi,luis suarez,8
Lionel Messi,24 july 2015 ref,1
Lionel Messi,barcelona s new,1
Lionel Messi,guardiola messi,1
Lionel Messi,9,11
Lionel Messi,xavi andr s iniesta,2
Lionel Messi,6 2,1
Lionel Messi,459,1
Lionel Messi,el cl sicos newspaper,1
Lionel Messi,el clasicos html,2
Lionel Messi,copa del rey,2
Lionel Messi,14 2009,1
Lionel Messi,https www telegraph,14
Lionel Messi,5321324,2
Lionel Messi,barcelona defeat athletic bilbao win copa del rey html archive url https ghostarchive org archive 20220110 https www telegraph,1
Lionel Messi,barcelona defeat athletic bilbao win copa del rey html archive date,1
Lionel Messi,la liga la liga champion,1
Lionel Messi,barcelona s title,1
Lionel Messi,mar,1
Lionel Messi,17 2009,1
Lionel Messi,uk sport football european,4
Lionel Messi,5338604,2
Lionel Messi,mar violence html archive,1
Lionel Messi,mar violence html,1
Lionel Messi,28 2009,1
Lionel Messi,26 july 2015,4
Lionel Messi,quarter final quarter,4
Lionel Messi,453 459,1
Lionel Messi,27,12
Lionel Messi,united barcelona,2
Lionel Messi,come messi,1
Lionel Messi,edwin van,1
Lionel Messi,27 2009,1
Lionel Messi,18 september,2
Lionel Messi,250 nbsp million,1
Lionel Messi,12 nbsp million,1
Lionel Messi,barcelona club achieve sextuple,1
Lionel Messi,tom adam,1
Lionel Messi,world cup estudiantes de la,1
